1;Rock & Roll with It;1
2;Pop and Lock;18
3;R&B - Rhythm and Banter;26
4;Beats and Banter;30
5;Samba and Smiles;13
6;Indie-Inspired Laughs;7
7;Funk Frenzy;5
8;Hip Hop Humor;23
9;Jazz Jokes;7
10;Country Comedy;12
11;Folk Fun;17
12;Reggae Riffs and Roasts;27
13;Electro-Eclectic Entertainment;1
14;Salsa and Chuckles;22
15;Disco Delights;10
16;Bossa Nova Banter;15
17;Pop and Puns;27
18;Rap and Laughs;20
19;Mirthful Melodies;1
20;Music and Merriment;26
21;Country Cômico Crossover;25
22;Samba Sacada;17
23;Reggae Risada Rítmica;11
24;Electro-Épico e Engraçado;19
25;Jazz Jocoso;20
26;R&B Riso Rápido;22
27;Indie-Irresistível e Irônico;12
28;Funk Folia;6
29;Pop e Palhaçada;19
30;Hip Hop Humorístico;6
31;Rock Riso Raro;26
32;Salsa Sorridente;4
33;Disco Diversão;7
34;Bossa Nova e Brincadeiras;24
35;Música e Marotagem;14
36;Folk e Faz de Conta;29
37;Reggae Rola-rolê;29
38;Electro-Eclético e Esquisito;9
39;Jazz Jovial;5
40;R&B e Riso;20
41;Indie-Inusitado e Incrível;1
42;Funk Frenesi Festeiro;26
43;Pop Palhaçada Party;29
44;Hip Hop e Haha;5
45;Rock e Rola-rindo;19
46;Salsa Sorriso Selvagem;1
47;Disco Diversão Dançante;27
48;Bossa Nova Brincadeira Balançante;1
49;Música e Muvuca;22
50;Folk e Facetiousness;25
51;Reggae e Riso Rítmico;25
52;Electro-Experimental e Engenhoso;18
53;Jazz e Jocosidade;5
54;R&B e Rima Ridícula;25
55;Indie-Incrível e Insólito;4
56;Funk Folia Frenética;1
57;Pop Palhaçada Power;5
58;Hip Hop Humor Hiperativo;19
59;Rock e Rola-rindo de Montão;27
60;Salsa Sorridente Sensacional;27
